fund_ticker,bbg_ticker,date,analysis_type,eqyticker,sedol,figi,nav_shares,iiv_shares,iiv_shares_tminus_one,trade_rebal,nav_wgt_begin,nav_wgt_end,nav_wgt_diff,index_iiv_wgt,dividend,price,equity_market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME,REGULATORY_STRUCTURE,SECURITY_TYP,EQY_SH_OUT,EQY_SH_OUT_million
P2726,P2726,2026-05-13,eod,PEP,2681511,BBG000DH7JK6,954.0,954.0,954.0,0.0,0.004484,0.004379,3e-06,0.004376,0.0,149.27,142403.58,Consumer Staples,Beverages,"Food, Beverage & Tobacco",,Common Stock,1366.768,1366768000.0
P2726,P2726,2026-05-13,eod,PFE,2684703,BBG000BR2B91,3421.0,3421.0,3421.0,0.0,0.00274,0.002731,0.0,0.002731,0.0,25.96,88809.16,Health Care,Pharmaceuticals,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,5699.444,5699444000.0
P2726,P2726,2026-05-13,eod,PG,2704407,BBG000BR2TH3,1592.0,1592.0,1592.0,0.0,0.007092,0.006964,-2e-06,0.006966,0.0,142.24,226446.08,Consumer Staples,Household Products,Household & Personal Products,,Common Stock,2328.599,2328599000.0
P2726,P2726,2026-05-13,eod,PLTR,BN78DQ4,BBG000N7QR55,1840.0,1840.0,1840.0,0.0,0.007746,0.007359,-1e-06,0.00736,0.0,130.05,239292.0,Information Technology,Software,Software & Services,,Common Stock,2296.071,2296071000.0
P2726,P2726,2026-05-13,eod,PM,B2PKRQ3,BBG000J2XL74,1085.0,1085.0,1085.0,0.0,0.006278,0.00627,-2e-06,0.006272,0.0,187.91,203882.35,Consumer Staples,Tobacco,"Food, Beverage & Tobacco",,Common Stock,1558.559,1558559000.0
P2726,P2726,2026-05-13,eod,PYPL,BYW36M8,BBG0077VNXV6,715.0,715.0,715.0,0.0,0.001006,0.000995,1e-06,0.000994,0.0,45.23,32339.45,Financials,Financial Services,Financial Services,,Common Stock,882.1055,882105500.0
P2726,P2726,2026-05-13,eod,QCOM,2714923,BBG000CGC1X8,639.0,639.0,639.0,0.0,0.00416,0.00419,0.0,0.00419,0.0,213.2,136234.8,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock,1054.0,1054000000.0
P2726,P2726,2026-05-13,eod,RTX,BM5M5Y3,BBG000BW8S60,1486.0,1486.0,1486.0,0.0,0.008229,0.008139,1e-06,0.008138,0.0,178.11,264671.46,Industrials,Aerospace & Defense,Capital Goods,,Common Stock,1346.683,1346683000.0
P2726,P2726,2026-05-13,eod,SBUX,2842255,BBG000CTQBF3,1254.0,1254.0,1254.0,0.0,0.004137,0.004086,2e-06,0.004084,0.0,105.95,132861.3,Consumer Discretionary,"Hotels, Restaurants & Leisure",Consumer Services,,Common Stock,1139.7,1139700000.0
P2726,P2726,2026-05-13,eod,SCHW,2779397,BBG000BSLZY7,1275.0,1275.0,1275.0,0.0,0.003559,0.003575,-1e-06,0.003576,0.0,91.17,116241.75,Financials,Capital Markets,Financial Services,,Common Stock,1739.136,1739136000.0
P2726,P2726,2026-05-13,eod,SO,2829601,BBG000BT9DW0,2113.0,2113.0,2113.0,0.0,0.006114,0.006052,-1e-06,0.006053,0.0,93.14,196804.82,Utilities,Electric Utilities,Utilities,,Common Stock,1128.32,1128320000.0
P2726,P2726,2026-05-13,eod,SPGI,BYV2325,BBG000BP1Q11,237.0,237.0,237.0,0.0,0.003112,0.002963,4e-06,0.002959,0.0,406.55,96352.35,Financials,Capital Markets,Financial Services,,Common Stock,303.2,303200000.0
P2726,P2726,2026-05-13,eod,T,2831811,BBG000BSJK37,4652.0,4652.0,4652.0,0.0,0.003633,0.003539,0.0,0.00354,0.0,24.74,115090.48,Communication Services,Diversified Telecommunication Services,Telecommunication Services,,Common Stock,1561.369,1561369000.0
P2726,P2726,2026-05-13,eod,TJX,2989301,BBG000BV8DN6,655.0,655.0,655.0,0.0,0.003047,0.002962,2e-06,0.00296,0.0,147.03,96304.65,Consumer Discretionary,Specialty Retail,Consumer Discretionary Distribution & Retail,,Common Stock,1105.814,1105814000.0
P2726,P2726,2026-05-13,eod,TMO,2886907,BBG000BVDLH9,226.0,226.0,226.0,0.0,0.003213,0.0031,-1e-06,0.003101,0.0,446.03,100802.78,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences",,Common Stock,371.6215,371621500.0
P2726,P2726,2026-05-13,eod,TSLA,B616C79,BBG000N9MNX3,1611.0,1611.0,1611.0,0.0,0.021616,0.022055,-1e-06,0.022057,0.0,445.18,717184.98,Consumer Discretionary,Automobiles,Automobiles & Components,,Common Stock,3755.724,3755724000.0
P2726,P2726,2026-05-13,eod,TXN,2885409,BBG000BVV7G1,542.0,542.0,542.0,0.0,0.004952,0.005106,-1e-06,0.005107,0.0,306.34,166036.28,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,,Common Stock,910.0928,910092800.0
P2726,P2726,2026-05-13,eod,UBER,BK6N347,BBG002B04MT8,1827.0,1827.0,1827.0,0.0,0.004319,0.004197,0.0,0.004197,0.0,74.7,136476.9,Industrials,Ground Transportation,Transportation,,Common Stock,2035.599,2035599000.0
P2726,P2726,2026-05-13,eod,UNH,2917766,BBG000CH5208,988.0,988.0,988.0,0.0,0.012123,0.012189,2e-06,0.012187,0.0,401.16,396346.08,Health Care,Health Care Providers & Services,Health Care Equipment & Services,,Common Stock,908.1444,908144400.0
P2726,P2726,2026-05-13,eod,UNP,2914734,BBG000BW3299,521.0,521.0,521.0,0.0,0.004284,0.00424,-4e-06,0.004245,0.0,264.65,137882.65,Industrials,Ground Transportation,Transportation,,Common Stock,593.7132,593713200.0
P2726,P2726,2026-05-13,eod,UPS,2517382,BBG000L9CV04,650.0,650.0,650.0,0.0,0.001981,0.001968,1e-06,0.001967,0.0,98.45,63992.5,Industrials,Air Freight & Logistics,Transportation,,Common Stock,746.5818,746581800.0
P2726,P2726,2026-05-13,eod,USB,2736035,BBG000FFDM15,937.0,937.0,937.0,0.0,0.00158,0.00152,1e-06,0.001519,0.0,52.74,49417.38,Financials,Banks,Banks,,Common Stock,1552.3,1552300000.0
P2726,P2726,2026-05-13,eod,V,B2PZN04,BBG000PSKYX7,1288.0,1288.0,1288.0,0.0,0.013015,0.012687,-5e-06,0.012692,0.0,320.31,412559.28,Financials,Financial Services,Financial Services,,Common Stock,1659.71,1659710000.0
P2726,P2726,2026-05-13,eod,VZ,2090571,BBG000HS77T5,2767.0,2767.0,2767.0,0.0,0.004105,0.004017,0.0,0.004017,0.0,47.21,130630.07,Communication Services,Diversified Telecommunication Services,Telecommunication Services,,Common Stock,4175.559,4175559000.0
P2726,P2726,2026-05-13,eod,WFC,2649100,BBG000BWQFY7,1891.0,1891.0,1891.0,0.0,0.004401,0.004276,-1e-06,0.004277,0.0,73.53,139045.23,Financials,Banks,Banks,,Common Stock,3060.189,3060189000.0
