fund,fund_ticker,bbg_ticker,date,eqyticker,shares_vest,shares_cust,price_vest,price_cust,shares_diff,price_diff,discrepancy_type
P2726,P2726,P2726,2026-05-13,CVS,1384.0,1384.0,95.62,98.11,0.0,-2.49,Match
P2726,P2726,P2726,2026-05-13,CVS,1384.0,1384.0,98.11,98.11,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,CVS,1384.0,1384.0,95.62,98.11,0.0,-2.49,Match
P2726,P2726,P2726,2026-05-13,CVX,1795.0,1795.0,184.91,186.0,0.0,-1.09,Match
P2726,P2726,P2726,2026-05-13,CVX,1795.0,1795.0,184.91,186.0,0.0,-1.09,Match
P2726,P2726,P2726,2026-05-13,CVX,1795.0,1795.0,186.0,186.0,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,DE,279.0,279.0,580.65,580.65,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,DE,279.0,279.0,586.0,580.65,0.0,5.35,Match
P2726,P2726,P2726,2026-05-13,DE,279.0,279.0,586.0,580.65,0.0,5.35,Match
P2726,P2726,P2726,2026-05-13,DHR,378.0,378.0,165.99,165.99,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,DHR,378.0,378.0,165.86,165.99,0.0,-0.13,Match
P2726,P2726,P2726,2026-05-13,DHR,378.0,378.0,165.86,165.99,0.0,-0.13,Match
P2726,P2726,P2726,2026-05-13,DIS,1059.0,1059.0,104.9,104.9,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,DIS,1059.0,1059.0,105.36,104.9,0.0,0.46,Match
P2726,P2726,P2726,2026-05-13,DIS,1059.0,1059.0,105.36,104.9,0.0,0.46,Match
P2726,P2726,P2726,2026-05-13,DUK,1493.0,1493.0,123.25,123.9,0.0,-0.65,Match
P2726,P2726,P2726,2026-05-13,DUK,1493.0,1493.0,123.25,123.9,0.0,-0.65,Match
P2726,P2726,P2726,2026-05-13,DUK,1493.0,1493.0,123.9,123.9,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,ELV,242.0,242.0,390.23,399.64,0.0,-9.41,Match
P2726,P2726,P2726,2026-05-13,ELV,242.0,242.0,399.64,399.64,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,ELV,242.0,242.0,390.23,399.64,0.0,-9.41,Match
P2726,P2726,P2726,2026-05-13,EMR,622.0,622.0,136.7,137.76,0.0,-1.06,Match
P2726,P2726,P2726,2026-05-13,EMR,622.0,622.0,136.7,137.76,0.0,-1.06,Match
P2726,P2726,P2726,2026-05-13,EMR,622.0,622.0,137.76,137.76,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,ETN,431.0,431.0,404.58,406.94,0.0,-2.36,Match
P2726,P2726,P2726,2026-05-13,ETN,431.0,431.0,404.58,406.94,0.0,-2.36,Match
P2726,P2726,P2726,2026-05-13,ETN,431.0,431.0,406.94,406.94,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,FDX,191.0,191.0,378.84,369.7,0.0,9.14,Match
P2726,P2726,P2726,2026-05-13,FDX,191.0,191.0,378.84,369.7,0.0,9.14,Match
P2726,P2726,P2726,2026-05-13,FDX,191.0,191.0,369.7,369.7,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,GE,1169.0,1169.0,294.71,294.71,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,GE,1169.0,1169.0,293.96,294.71,0.0,-0.75,Match
P2726,P2726,P2726,2026-05-13,GE,1169.0,1169.0,293.96,294.71,0.0,-0.75,Match
P2726,P2726,P2726,2026-05-13,GILD,747.0,747.0,132.46,133.05,0.0,-0.59,Match
P2726,P2726,P2726,2026-05-13,GILD,747.0,747.0,132.46,133.05,0.0,-0.59,Match
P2726,P2726,P2726,2026-05-13,GILD,747.0,747.0,133.05,133.05,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,GOOG,2383.0,2383.0,399.06,399.04,0.0,0.02,Match
P2726,P2726,P2726,2026-05-13,GOOG,2383.0,2383.0,383.38,399.04,0.0,-15.66,Match
P2726,P2726,P2726,2026-05-13,GOOG,2383.0,2383.0,383.38,399.04,0.0,-15.66,Match
P2726,P2726,P2726,2026-05-13,GOOGL,2983.0,2983.0,402.62,402.62,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,GOOGL,2983.0,2983.0,387.05,402.62,0.0,-15.57,Match
P2726,P2726,P2726,2026-05-13,GOOGL,2983.0,2983.0,387.05,402.62,0.0,-15.57,Match
P2726,P2726,P2726,2026-05-13,GS,229.0,229.0,955.42,955.42,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,GS,229.0,229.0,936.0,955.42,0.0,-19.42,Match
P2726,P2726,P2726,2026-05-13,GS,229.0,229.0,936.0,955.42,0.0,-19.42,Match
P2726,P2726,P2726,2026-05-13,HD,585.0,585.0,302.55,302.55,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,HD,585.0,585.0,305.33,302.55,0.0,2.78,Match
P2726,P2726,P2726,2026-05-13,HD,585.0,585.0,305.33,302.55,0.0,2.78,Match
P2726,P2726,P2726,2026-05-13,HON,704.0,704.0,218.03,217.96,0.0,0.07,Match
P2726,P2726,P2726,2026-05-13,HON,704.0,704.0,218.03,217.96,0.0,0.07,Match
P2726,P2726,P2726,2026-05-13,HON,704.0,704.0,217.96,217.96,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,IBM,753.0,753.0,214.64,214.64,0.0,0.0,Match
P2726,P2726,P2726,2026-05-13,IBM,753.0,753.0,216.21,214.64,0.0,1.57,Match
P2726,P2726,P2726,2026-05-13,IBM,753.0,753.0,216.21,214.64,0.0,1.57,Match
P2726,P2726,P2726,2026-05-13,INTC,2675.0,2675.0,122.2,120.29,0.0,1.91,Match
P2726,P2726,P2726,2026-05-13,INTC,2675.0,2675.0,120.29,120.29,0.0,0.0,Match
