source,date,fund,fund_ticker,bbg_ticker,optticker,shares_cust,quantity,category_description,asset_group,price,market_value,cusip,maturity_date
umb,2026-05-13,P2726,P2726,P2726,PFE US 05/15/26 C25.5,-7.0,-7.0,OPTC_EQY,,0.52,-367.5,70199H0Z0,
umb,2026-05-13,P2726,P2726,P2726,PG US 05/15/26 C146,-3.0,-3.0,OPTC_EQY,,0.18,-52.5,6XI9914F6,
umb,2026-05-13,P2726,P2726,P2726,PLTR US 05/15/26 C137,-4.0,-4.0,OPTC_EQY,,0.48,-190.0,6IV996QK8,
umb,2026-05-13,P2726,P2726,P2726,PM US 05/15/26 C170,-2.0,-2.0,OPTC_EQY,,18.3,-3660.0,6I2995707,
umb,2026-05-13,P2726,P2726,P2726,PYPL US 05/15/26 C45.5,-2.0,-2.0,OPTC_EQY,,0.44,-87.0,6IK99JE09,
umb,2026-05-13,P2726,P2726,P2726,QCOM US 05/15/26 C220,-1.0,-1.0,OPTC_EQY,,3.92,-392.5,5HI99M8N5,
umb,2026-05-13,P2726,P2726,P2726,RTX US 05/15/26 C177.5,-3.0,-3.0,OPTC_EQY,,2.72,-816.0,6XI994494,
umb,2026-05-13,P2726,P2726,P2726,SBUX US 05/15/26 C105,-3.0,-3.0,OPTC_EQY,,1.55,-465.0,553999PC1,
umb,2026-05-13,P2726,P2726,P2726,SCHW US 05/15/26 C89,-3.0,-3.0,OPTC_EQY,,2.92,-877.5,606992ZT5,
umb,2026-05-13,P2726,P2726,P2726,SO US 05/15/26 C92,-5.0,-5.0,OPTC_EQY,,1.48,-737.5,6NC99I8A4,
umb,2026-05-13,P2726,P2726,P2726,SPGI US 05/15/26 C420,-1.0,-1.0,OPTC_EQY,,0.95,-95.0,5TW9938C9,
umb,2026-05-13,P2726,P2726,P2726,SPX US 07/31/26 C5000,-4.0,-4.0,OPTC_IEQ,,2483.95,-993578.04,SC31761B,
umb,2026-05-13,P2726,P2726,P2726,SPX US 07/31/26 C6000,4.0,4.0,OPTC_IEQ,,1507.21,602883.72,SC31763B,
umb,2026-05-13,P2726,P2726,P2726,SPX US 07/31/26 P5000,4.0,4.0,OPTP_IEQ,,8.64,3457.56,SP31762B,
