fund_ticker,bbg_ticker,date,analysis_type,optticker,maturity,figi,occ_symbol,equity_underlying_ticker,equity_underlying_price,delta,strike,nav_shares,iiv_shares,trade_rebal,price,option_notional_value,option_market_value,option_delta_adjusted_notional,option_delta_adjusted_market_value,GICS_SECTOR_NAME,GICS_INDUSTRY_NAME,GICS_INDUSTRY_GROUP_NAME,REGULATORY_STRUCTURE,SECURITY_TYP
P2726,P2726,2026-05-13,eod,WFC US 05/15/26 C76,2026-05-15,,WFC   260515C00076000,WFC,73.53,0.114846,76.0,-4,,,0.11,-29412.0,-44.0,-3377.850552,-5.053224,Financials,Banks,Banks,,Common Stock
P2726,P2726,2026-05-13,eod,WM US 05/15/26 C220,2026-05-15,,WM    260515C00220000,WM,216.44,0.197504,220.0,-3,,,0.54,-64932.0,-162.0,-12824.329728,-31.995648,Industrials,Commercial Services & Supplies,Commercial & Professional Services,,Common Stock
P2726,P2726,2026-05-13,eod,WMT US 05/15/26 C131,2026-05-15,,WMT   260515C00131000,WMT,131.47,0.570262,131.0,-6,,,1.5,-78882.0,-900.0,-44983.407084,-513.2358,Consumer Staples,Consumer Staples Distribution & Retail,Consumer Staples Distribution & Retail,,Common Stock
P2726,P2726,2026-05-13,eod,XOM US 05/15/26 C144,2026-05-15,,XOM   260515C00144000,XOM,151.57,1.0,144.0,-9,,,7.63,-136413.0,-6867.0,-136413.0,-6867.0,Energy,"Oil, Gas & Consumable Fuels",Energy,,Common Stock
P2726,P2726,2026-05-14,eod,4SPX US 07/31/26 C5000.01,2026-07-31,,4SPX  260731C05000010,SC31761B,7501.24,-0.9861523,5000.01,-4,,,2538.63,-3000496.0,-1015452.0,2958946.0315408,1001390.3253396,,,,,
P2726,P2726,2026-05-14,eod,4SPX US 07/31/26 C6000.01,2026-07-31,,4SPX  260731C06000010,SC31763B,7501.24,0.9512686,6000.01,4,,,1558.9,3000496.0,623560.0,2854277.6292256,593173.048216,,,,,
P2726,P2726,2026-05-14,eod,4SPX US 07/31/26 P5000.01,2026-07-31,,4SPX  260731P05000010,SP31762B,7501.24,-0.0156263,5000.01,4,,,7.46,3000496.0,2984.0,-46886.6506448,-46.6288792,,,,,
P2726,P2726,2026-05-14,eod,4SPX US 07/31/26 P5346.56,2026-07-31,,4SPX  260731P05346560,SP31765B,7501.24,-0.0229294,5346.56,62,,,10.24,46507688.0,63488.0,-1066393.3812272,-1455.7417472,,,,,
P2726,P2726,2026-05-14,eod,4SPX US 07/31/26 P6000.01,2026-07-31,,4SPX  260731P06000010,SP31764B,7501.24,0.05051,6000.01,-4,,,19.92,-3000496.0,-7968.0,-151555.05296,-402.46368,,,,,
P2726,P2726,2026-05-14,eod,4XSP US 07/31/26 P534.66,2026-07-31,,4XSP  260731P00534660,XP31765B,750.12,-0.0231264,534.66,19,,,1.03,1425228.0,1957.0,-32960.3928192,-45.2583648,,,,,
P2726,P2726,2026-05-14,eod,AAPL US 05/15/26 C292.5,2026-05-15,,AAPL  260515C00292500,AAPL,298.21,0.865682,292.5,-16,,,5.96,-477136.0,-9536.0,-413048.046752,-8255.143552,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment,,Common Stock
